listing.id,listing.user.id,listing.is_superhost,listing.city,listing.name,listing.property_type_id,listing.room_and_property_type,listing.space_type,listing.avg_rating,listing.reviews_count,listing.picture_count,listing.bathrooms,listing.bedrooms,listing.beds,listing.person_capacity,listing.cancel_policy,listing.is_new_listing,listing.lat,listing.lng,listing.max_nights,listing.min_nights,pricing_quote.can_instant_book,pricing_quote.monthly_price_factor,pricing_quote.rate.amount,pricing_quote.weekly_price_factor
42670934,266063094,False,Midland,Free Breakfast. Pool & Hot Tub. King Suite. Close to the new Chevron and Oxy campuses!,37,Entire condominium,Entire condominium,,0,17,1.0,1,1.0,2,CANCEL_MODERATE,False,31.99406,-102.16205,14,2,True,1.0,163.0,1.0
29275238,220548113,True,Midland,North Midland Private Master Bedroom,2,Private room in house,Private room,5.0,27,9,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,32.04382,-102.10859,1125,1,False,0.79,95.0,0.79
43302463,342643084,False,Midland,Comfort Abounds at 1BR in Midland,47,Entire serviced apartment,Entire apartment,,0,19,1.0,1,1.0,3,CANCEL_STRICT_14_WITH_GRACE_PERIOD,True,32.02814,-102.15834,1125,30,True,1.0,58.0,1.0
43302458,342643084,False,Midland,Private 2BR/2BA Apt Home in Midland,47,Entire serviced apartment,Entire apartment,,0,19,2.0,2,2.0,5,CANCEL_STRICT_14_WITH_GRACE_PERIOD,True,32.02814,-102.15834,1125,30,True,1.0,83.0,1.0
43302465,342643084,False,Midland,Cozy 2BR/2BA apt in Midland,47,Entire serviced apartment,Entire apartment,,0,19,2.0,2,2.0,5,CANCEL_STRICT_14_WITH_GRACE_PERIOD,True,32.02814,-102.15834,1125,30,True,1.0,86.0,1.0
39750604,302762155,False,Midland,Brand New Midland Suite + Pool,1,Entire apartment,Entire apartment,4.0,3,24,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,31.98672,-102.14816,90,1,True,0.8,55.0,0.9
42565475,153682556,True,Midland,Right At Home- Midland Patio Home,2,Entire house,Entire house,5.0,4,33,3.5,3,4.0,8,CANCEL_FLEXIBLE,False,32.01807,-102.10578,1125,1,False,1.0,99.0,1.0
38671622,47332498,True,Midland,Best 2 Bedroom Apartment! - Double Master Bedrooms,1,Entire apartment,Entire apartment,5.0,3,24,2.0,2,2.0,4,CANCEL_MODERATE,False,31.99142,-102.16079,1125,10,True,0.8,97.0,0.95
35248417,93930,False,Midland,Brand new Home - 1 bedroom Available,36,Private room in townhouse,Private room,5.0,6,17,3.5,1,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.02639,-102.09048,30,4,False,0.9,25.0,1.0
38438518,293011673,False,Midland,Comfort space,1,Private room in apartment,Private room,4.36,11,12,1.0,1,1.0,1,CANCEL_FLEXIBLE,False,32.00167,-102.13696,1125,1,True,0.57,60.0,0.97
36878447,41669328,True,Midland,"*NEW* Light, bright & Cozy - 4 bed 2 bath home",2,Entire house,Entire house,5.0,15,27,2.0,4,5.0,8,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.98411,-102.14096,1125,1,False,0.78,160.0,0.9
29390305,149309678,True,Midland,"Anetta/Loop 250 - 3 bedroom, 2 bath, 2 car garage",2,Entire house,Entire house,5.0,18,14,2.0,3,3.0,8,CANCEL_MODERATE,False,31.97317,-102.13551,1125,2,True,0.7,151.0,0.9
27309093,105278457,False,Midland,Green Roost.,2,Entire house,Entire house,4.38,24,6,1.0,2,2.0,4,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.97652,-102.11977,60,5,False,0.6,100.0,0.8
30266228,207888136,False,Midland,Beautiful 2 bedroom apartment!5,1,Entire apartment,Entire apartment,4.6,10,9,1.0,2,3.0,5,CANCEL_FLEXIBLE,False,32.007,-102.08177,1125,1,True,1.0,104.0,1.0
43302466,342643084,False,Midland,1BR w/ sparkling pool in Midland,47,Entire serviced apartment,Entire apartment,,0,19,1.0,1,1.0,3,CANCEL_STRICT_14_WITH_GRACE_PERIOD,True,32.02814,-102.15834,1125,30,True,1.0,53.0,1.0
39750463,302762155,False,Midland,Modern Suite in the Heart of Midland!,1,Entire apartment,Entire apartment,5.0,5,26,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,31.98859,-102.1492,90,1,True,0.8,55.0,0.9
